dest;orig;hombres;mujeres;año
   El Hierro;España;33;33;2002
Canarias;Resto de UE-28;1165;1097;2002
   Lanzarote;Resto de UE-28;133;135;2002
   Fuerteventura;Resto de UE-28;33;37;2002
   Gran Canaria;Resto de UE-28;187;186;2002
   Tenerife;Resto de UE-28;749;687;2002
   La Gomera;Resto de UE-28;6;5;2002
   La Palma;Resto de UE-28;56;47;2002
   El Hierro;Resto de UE-28;1;0;2002
Canarias;Resto del mundo;2106;1988;2002
   Lanzarote;Resto del mundo;367;329;2002
   Fuerteventura;Resto del mundo;85;60;2002
   Gran Canaria;Resto del mundo;645;610;2002
   Tenerife;Resto del mundo;962;910;2002
   La Gomera;Resto del mundo;2;3;2002
   La Palma;Resto del mundo;43;70;2002
   El Hierro;Resto del mundo;2;6;2002
Canarias;España;11594;11338;2001
   Lanzarote;España;963;908;2001
   Fuerteventura;España;326;257;2001
   Gran Canaria;España;5091;4859;2001
   Tenerife;España;4689;4719;2001
   La Gomera;España;36;44;2001
   La Palma;España;461;523;2001
   El Hierro;España;28;28;2001
Canarias;Resto de UE-28;552;517;2001
   Lanzarote;Resto de UE-28;83;81;2001
   Fuerteventura;Resto de UE-28;20;21;2001
   Gran Canaria;Resto de UE-28;106;101;2001
   Tenerife;Resto de UE-28;309;281;2001
   La Gomera;Resto de UE-28;1;3;2001
   La Palma;Resto de UE-28;31;30;2001
   El Hierro;Resto de UE-28;2;0;2001
Canarias;Resto del mundo;833;738;2001
   Lanzarote;Resto del mundo;152;119;2001
   Fuerteventura;Resto del mundo;53;33;2001
   Gran Canaria;Resto del mundo;282;258;2001
   Tenerife;Resto del mundo;312;272;2001
   La Gomera;Resto del mundo;2;2;2001
   La Palma;Resto del mundo;30;50;2001
   El Hierro;Resto del mundo;2;4;2001
Canarias;España;13474;13063;2000
   Lanzarote;España;1027;953;2000
   Fuerteventura;España;568;475;2000
   Gran Canaria;España;5649;5543;2000
   Tenerife;España;5682;5541;2000
   La Gomera;España;62;44;2000
   La Palma;España;473;473;2000
   El Hierro;España;13;34;2000
